Item ID,Name,Width,Depth,Height,Mass,Priority,Expiry Date,Usage Limit,Preferred Zone
item0060,Solar Panel Part,54,88,15,33,5,N/A,15,Crew Quarters
item0061,Scientific Instrument,41,36,62,26,25,N/A,75,Storage Area 3
item0062,Water Container,18,87,58,10,2,2025-05-23,24,Storage Area 1
item0063,Dehydrated Meal Pack,55,78,78,71,72,N/A,20,Docking Area 2
item0064,Food Ration,28,97,19,38,23,2025-06-18,51,Storage Area 1
item0065,Experiment Sample,75,60,96,98,54,2026-01-14,27,Storage Area 2
item0066,Solar Panel Part,70,23,9,95,38,N/A,99,US Laboratory
item0067,Communication Device,77,61,79,53,70,2026-01-05,95,European Laboratory
item0068,Solar Panel Part,10,24,73,60,98,N/A,30,Storage Area 2
item0069,Dehydrated Meal Pack,54,81,76,81,49,N/A,28,Japanese Laboratory
item0070,Communication Device,64,90,22,27,62,N/A,65,Storage Area 1
item0071,Experiment Sample,80,73,31,6,84,N/A,73,Service Module
item0072,Medical Supply Kit,74,72,75,94,67,2025-10-24,84,Docking Area 2
item0073,Battery Pack,9,33,82,10,2,N/A,65,Service Module
item0074,Hygiene Kit,10,84,24,69,61,N/A,31,Storage Area 2
item0075,Experiment Sample,29,35,71,42,10,N/A,78,Docking Area 4
item0076,Dehydrated Meal Pack,79,42,56,61,20,2025-11-16,14,European Laboratory
item0077,Experiment Sample,90,83,57,71,66,N/A,65,Docking Area 2
item0078,Food Ration,9,38,64,81,15,2025-04-17,96,Airlock
item0079,Dehydrated Meal Pack,92,23,9,69,5,2026-03-26,56,Storage Area 3
item0080,Battery Pack,62,27,96,44,53,2025-08-28,58,Cupola
item0081,Solar Panel Part,97,18,53,95,47,N/A,4,Storage Area 2
item0082,Battery Pack,86,99,11,5,19,2025-09-29,90,European Laboratory
item0083,Water Container,96,10,10,48,17,N/A,88,Docking Area 1
item0084,Water Container,39,72,13,5,19,N/A,67,Airlock
item0085,Communication Device,28,33,23,38,99,2025-04-01,83,Russian Laboratory
item0086,Battery Pack,33,15,57,29,41,N/A,3,US Laboratory
item0087,Water Container,19,8,67,10,76,2025-12-21,32,Airlock
item0088,First Aid Kit,29,9,90,29,62,N/A,29,Storage Area 3
item0089,Microgravity Experiment Setup,58,33,17,100,57,N/A,25,Storage Area 1
item0090,Microgravity Experiment Setup,10,21,85,73,69,2025-04-10,61,Storage Area 3
item0091,Solar Panel Part,15,91,61,22,25,2025-06-10,28,Cupola
item0092,Hygiene Kit,83,100,19,17,27,N/A,81,European Laboratory
item0093,Food Ration,32,97,61,31,49,N/A,64,Airlock
item0094,Communication Device,46,33,95,44,53,N/A,5,Russian Laboratory
item0095,Oxygen Cylinder,9,26,76,39,42,N/A,54,Service Module
item0096,Oxygen Cylinder,55,34,78,84,84,2025-10-13,80,Storage Area 2
item0097,Microgravity Experiment Setup,78,100,51,10,38,N/A,46,Storage Area 2
item0098,Battery Pack,78,87,82,56,11,N/A,83,Crew Quarters
item0099,Water Container,13,54,32,54,78,2025-11-10,30,Cupola
item0100,Solar Panel Part,83,34,24,83,84,2025-12-10,79,Docking Area 1
item0101,Scientific Instrument,17,7,77,99,91,2025-10-19,90,Docking Area 3
item0102,Medical Supply Kit,13,8,33,42,29,N/A,72,Crew Quarters
item0103,Dehydrated Meal Pack,11,60,91,53,33,N/A,46,Japanese Laboratory
item0104,Hygiene Kit,76,66,41,60,100,N/A,7,Docking Area 3
item0105,Medical Supply Kit,93,86,16,44,80,N/A,61,Service Module
item0106,Dehydrated Meal Pack,62,67,73,10,54,2025-07-25,86,Japanese Laboratory
item0107,Hygiene Kit,38,95,60,21,68,2025-10-31,29,Storage Area 3
item0108,Tool Kit,25,71,93,56,56,N/A,58,European Laboratory
item0109,Medical Supply Kit,85,42,55,25,39,N/A,99,Japanese Laboratory
item0110,Hygiene Kit,74,74,64,53,22,2025-10-30,7,Russian Laboratory
item0111,Hygiene Kit,61,47,87,18,64,N/A,29,Crew Quarters
item0112,Spare Part,8,47,74,78,62,N/A,25,Storage Area 2
item0113,Food Ration,12,73,97,66,58,2025-05-06,54,Storage Area 3
item0114,First Aid Kit,72,78,17,25,76,2025-08-20,41,European Laboratory
item0115,First Aid Kit,65,65,9,2,83,2025-06-14,98,Airlock
item0116,Spare Part,60,55,10,28,52,2025-05-28,50,Cupola
item0117,First Aid Kit,76,26,65,87,28,N/A,85,Crew Quarters
item0118,Medical Supply Kit,26,76,38,77,28,2025-11-24,77,Crew Quarters
item0119,Oxygen Cylinder,99,21,88,40,6,2025-11-03,11,Storage Area 2
item0120,Dehydrated Meal Pack,97,97,61,26,52,N/A,89,Service Module
item0121,Microgravity Experiment Setup,27,13,61,54,83,N/A,39,Storage Area 1
item0122,Medical Supply Kit,63,53,60,23,31,2025-04-16,37,Storage Area 1
item0123,Food Ration,99,99,98,70,57,2025-08-07,92,Storage Area 1
item0124,Microgravity Experiment Setup,22,95,18,83,68,N/A,96,Storage Area 1
item0125,Tool Kit,76,74,55,77,32,N/A,6,US Laboratory
item0126,Solar Panel Part,53,13,34,24,40,2025-08-15,35,Cupola
item0127,Battery Pack,97,77,50,63,62,N/A,95,Docking Area 4
item0128,Food Ration,72,99,46,68,39,2025-09-08,78,Service Module
item0129,Oxygen Cylinder,10,97,76,54,17,2025-11-23,52,Docking Area 3
item0130,Tool Kit,27,8,11,97,67,N/A,14,Crew Quarters
item0131,Spare Part,16,75,90,45,69,2025-07-30,58,Cupola
item0132,Food Ration,88,65,25,7,42,2025-12-05,88,Docking Area 3
item0133,Hygiene Kit,67,24,59,84,26,2025-07-15,78,European Laboratory
item0134,Solar Panel Part,87,13,52,62,43,2025-06-01,31,Service Module
item0135,Water Container,41,47,16,30,13,2025-05-21,71,Docking Area 4
item0136,Dehydrated Meal Pack,40,29,94,73,0,2025-09-15,41,Russian Laboratory
item0137,Tool Kit,89,23,22,49,84,N/A,31,Docking Area 3
item0138,Communication Device,72,29,45,67,2,2025-10-07,51,Service Module
item0139,Solar Panel Part,57,63,6,28,20,N/A,15,Airlock
item0140,Solar Panel Part,17,42,61,24,81,N/A,85,European Laboratory
item0141,Oxygen Cylinder,50,5,49,42,24,2025-07-26,49,Japanese Laboratory
item0142,Battery Pack,93,82,43,86,69,2025-04-07,11,US Laboratory
item0143,Communication Device,51,12,41,11,19,2025-07-27,90,Service Module
item0144,Solar Panel Part,66,96,28,21,20,N/A,20,Docking Area 2
item0145,Dehydrated Meal Pack,97,50,59,76,26,N/A,84,Airlock
item0146,Food Ration,98,89,94,2,75,N/A,38,Airlock
item0147,Food Ration,10,47,93,99,79,N/A,51,Storage Area 1
item0148,Food Ration,53,46,82,47,49,2025-04-20,26,Airlock
item0149,Battery Pack,63,24,76,39,67,N/A,49,Cupola
item0150,Battery Pack,85,40,13,7,68,2025-06-19,78,Docking Area 3
item0151,Water Container,61,68,91,12,17,N/A,53,Storage Area 3
item0152,First Aid Kit,69,90,63,23,59,2026-01-16,67,Service Module
item0153,Battery Pack,70,20,11,91,63,N/A,55,Docking Area 1
item0154,Water Container,28,12,30,90,29,N/A,89,Cupola
item0155,Microgravity Experiment Setup,46,90,61,25,95,N/A,68,Storage Area 1
item0156,Experiment Sample,72,93,100,43,81,2025-10-02,65,Storage Area 2
item0157,Spare Part,9,31,31,80,13,2025-07-01,67,Japanese Laboratory
item0158,Oxygen Cylinder,59,86,40,33,93,N/A,64,Russian Laboratory
item0159,Dehydrated Meal Pack,34,78,22,32,69,2025-10-15,32,Service Module
item0160,Hygiene Kit,99,9,23,46,95,2025-10-19,89,Russian Laboratory
item0161,Communication Device,18,59,15,65,20,N/A,35,Docking Area 1
item0162,Scientific Instrument,17,99,94,98,31,N/A,36,European Laboratory
item0163,Water Container,56,36,80,1,55,N/A,26,Docking Area 4
item0164,Water Container,53,70,26,81,37,N/A,59,Crew Quarters
item0165,Food Ration,74,74,8,70,77,N/A,95,Docking Area 1
item0166,Hygiene Kit,35,24,12,69,34,N/A,15,Docking Area 1
item0167,Experiment Sample,29,60,13,71,31,2025-12-04,34,US Laboratory
item0168,Communication Device,51,91,90,14,64,N/A,80,Docking Area 1
item0169,Scientific Instrument,81,39,11,10,68,N/A,89,Crew Quarters
item0170,Communication Device,67,71,36,11,50,N/A,15,US Laboratory
item0171,Tool Kit,75,43,92,14,21,2025-11-09,54,US Laboratory
item0172,Tool Kit,93,21,48,20,76,N/A,68,Service Module
item0173,Dehydrated Meal Pack,15,37,68,74,91,N/A,86,Docking Area 2
item0174,Oxygen Cylinder,60,17,71,89,58,N/A,45,European Laboratory
item0175,Hygiene Kit,43,6,75,64,76,2026-01-30,63,European Laboratory
item0176,Communication Device,49,76,11,19,28,2025-09-21,56,Airlock
item0177,Communication Device,91,78,17,76,0,2026-01-08,45,Airlock
item0178,Scientific Instrument,39,67,74,31,85,N/A,95,Storage Area 1
item0179,Solar Panel Part,73,75,61,50,83,N/A,64,Docking Area 1
item0180,Hygiene Kit,15,5,23,8,82,2025-06-11,47,Service Module
item0181,Solar Panel Part,65,26,37,14,43,N/A,61,Docking Area 4
item0182,Food Ration,92,11,77,30,50,2025-05-28,53,Russian Laboratory
item0183,Battery Pack,59,93,33,19,50,2026-03-23,51,Storage Area 3
item0184,Solar Panel Part,66,83,49,52,10,2025-11-08,97,European Laboratory
item0185,Food Ration,22,85,98,3,57,2025-12-08,83,Docking Area 4
item0186,Dehydrated Meal Pack,63,50,44,32,50,N/A,33,Storage Area 1
item0187,Medical Supply Kit,45,54,71,98,71,2026-03-05,30,Service Module
item0188,Tool Kit,63,90,14,40,21,N/A,17,Docking Area 4
item0189,Dehydrated Meal Pack,10,38,47,54,88,N/A,100,Airlock
item0190,Communication Device,40,73,15,27,36,2026-03-21,1,Storage Area 2
item0191,Dehydrated Meal Pack,34,22,76,35,80,2025-05-31,23,Russian Laboratory
item0192,Tool Kit,25,67,14,45,40,2025-06-14,61,Storage Area 2
item0193,Oxygen Cylinder,25,51,43,24,99,2025-07-03,76,Russian Laboratory
item0194,Hygiene Kit,37,18,40,58,45,N/A,39,Docking Area 2
item0195,Oxygen Cylinder,20,33,63,53,10,2025-07-17,75,Cupola
item0196,Water Container,65,56,38,12,21,N/A,59,Russian Laboratory
item0197,Hygiene Kit,91,24,17,59,38,2025-08-24,96,Cupola
item0198,Medical Supply Kit,28,84,7,61,99,N/A,70,Japanese Laboratory
item0199,First Aid Kit,95,44,26,1,29,2025-05-28,28,Service Module
item0200,Tool Kit,48,15,9,75,52,N/A,78,Docking Area 1
item0201,Oxygen Cylinder,20,72,45,8,59,N/A,62,Service Module
item0202,Spare Part,89,37,18,15,42,2025-04-09,75,Japanese Laboratory
item0203,First Aid Kit,61,47,84,99,82,N/A,82,Docking Area 4
item0204,Tool Kit,56,60,68,53,86,N/A,62,Docking Area 1
item0205,Food Ration,32,87,40,32,88,N/A,27,Japanese Laboratory
item0206,Medical Supply Kit,64,86,74,20,2,N/A,50,Docking Area 4
item0207,Microgravity Experiment Setup,8,5,10,12,51,2025-05-05,58,Russian Laboratory
item0208,Spare Part,89,20,72,54,19,2025-11-08,35,Crew Quarters
item0209,Water Container,91,27,8,38,34,2026-01-05,29,Cupola
item0210,Medical Supply Kit,100,83,80,47,25,N/A,75,Service Module
item0211,Water Container,71,14,67,90,85,N/A,54,Storage Area 3
item0212,Experiment Sample,68,99,7,20,86,N/A,26,Airlock
item0213,Communication Device,79,95,33,9,25,2025-10-06,48,Cupola
item0214,Water Container,97,45,89,71,32,N/A,10,Docking Area 2
item0215,Spare Part,6,58,96,5,72,N/A,37,US Laboratory
item0216,Experiment Sample,89,9,7,71,96,2025-05-05,54,Service Module
item0217,Spare Part,93,33,21,13,64,2025-10-11,20,Docking Area 1
item0218,Water Container,91,89,71,49,0,2025-11-15,25,US Laboratory
item0219,Microgravity Experiment Setup,87,61,63,89,88,N/A,58,European Laboratory
item0220,Solar Panel Part,96,73,12,16,6,2025-07-20,78,Japanese Laboratory
item0221,Spare Part,30,46,22,32,35,2025-05-23,11,US Laboratory
item0222,Spare Part,48,17,96,12,48,N/A,55,Storage Area 1
item0223,Experiment Sample,70,31,17,41,9,N/A,71,Japanese Laboratory
item0224,Battery Pack,15,33,57,89,60,N/A,86,Airlock
item0225,Hygiene Kit,75,34,82,44,81,2025-11-06,64,Storage Area 3
item0226,Hygiene Kit,57,21,65,99,61,2026-03-24,29,Docking Area 2
item0227,Microgravity Experiment Setup,79,11,92,20,4,N/A,93,Cupola
item0228,Communication Device,51,55,36,33,95,2025-10-12,39,Crew Quarters
item0229,Experiment Sample,44,46,55,95,33,N/A,57,Japanese Laboratory
item0230,Microgravity Experiment Setup,100,14,59,78,23,2026-01-27,18,Airlock
item0231,Microgravity Experiment Setup,52,62,43,10,50,2025-06-18,97,European Laboratory
item0232,Water Container,39,82,98,11,17,2025-11-05,50,Cupola
item0233,Solar Panel Part,77,18,29,28,17,2026-03-20,24,US Laboratory
item0234,Food Ration,6,33,77,53,42,2026-02-11,73,Airlock
item0235,Medical Supply Kit,61,25,55,43,0,2025-06-24,48,Airlock
item0236,Microgravity Experiment Setup,100,35,36,96,91,2026-02-13,59,Crew Quarters
item0237,Water Container,39,38,35,49,17,2026-02-23,82,Storage Area 3
item0238,Hygiene Kit,55,29,74,63,28,2025-11-09,13,Storage Area 1
item0239,Water Container,30,29,17,71,3,N/A,84,Russian Laboratory
item0240,Spare Part,69,43,81,32,71,2025-08-24,28,Docking Area 2
item0241,Tool Kit,57,84,10,25,35,2025-06-22,47,Russian Laboratory
item0242,Dehydrated Meal Pack,66,8,22,74,46,N/A,15,Service Module
item0243,First Aid Kit,11,16,28,84,62,2026-03-02,74,Russian Laboratory
item0244,Medical Supply Kit,91,42,78,79,31,2026-01-12,23,Crew Quarters
item0245,First Aid Kit,50,30,35,94,23,N/A,29,Service Module
item0246,Communication Device,10,65,79,38,23,N/A,69,Airlock
item0247,Battery Pack,54,75,38,66,85,N/A,87,Airlock
item0248,Solar Panel Part,13,66,42,19,24,2025-07-08,45,Cupola
item0249,Battery Pack,54,19,73,17,72,2025-04-13,10,Storage Area 1
item0250,Spare Part,33,87,68,13,88,2025-09-03,71,Storage Area 2
item0251,First Aid Kit,68,29,87,98,52,N/A,95,Cupola
item0252,Microgravity Experiment Setup,43,40,34,81,57,2026-03-06,45,Docking Area 4
item0253,Communication Device,7,5,41,37,18,2025-05-04,53,Docking Area 4
item0254,Solar Panel Part,12,31,43,73,62,N/A,51,Cupola
item0255,Hygiene Kit,69,77,33,51,63,2025-06-11,41,Storage Area 3
item0256,Medical Supply Kit,45,45,93,37,16,N/A,2,Crew Quarters
item0257,Communication Device,71,19,31,95,95,N/A,27,Cupola
item0258,Oxygen Cylinder,38,81,10,84,36,N/A,50,Cupola
item0259,Experiment Sample,86,41,96,31,17,N/A,10,Docking Area 3
item0260,Battery Pack,91,94,60,76,36,N/A,8,Docking Area 3
item0261,Scientific Instrument,42,96,66,82,1,N/A,34,Storage Area 1
item0262,Microgravity Experiment Setup,23,92,32,68,17,N/A,38,Service Module
item0263,First Aid Kit,92,34,55,55,40,N/A,55,Airlock
item0264,Microgravity Experiment Setup,86,62,7,51,24,2025-08-02,34,Cupola
item0265,Medical Supply Kit,94,43,39,9,79,N/A,86,Storage Area 1
item0266,First Aid Kit,17,72,47,78,30,N/A,55,Storage Area 3
item0267,Food Ration,23,55,23,19,62,2025-09-07,94,Docking Area 1
item0268,Dehydrated Meal Pack,78,70,28,35,38,N/A,56,Japanese Laboratory
item0269,Tool Kit,68,45,68,81,32,2025-07-04,12,Japanese Laboratory
item0270,Experiment Sample,72,76,25,33,54,2025-11-15,74,Crew Quarters
item0271,Tool Kit,26,27,37,44,31,N/A,56,European Laboratory
item0272,Experiment Sample,30,6,5,90,53,2025-07-02,38,Storage Area 2
item0273,Dehydrated Meal Pack,91,82,24,59,41,2025-09-17,23,Japanese Laboratory
item0274,First Aid Kit,78,12,84,95,67,N/A,33,US Laboratory
item0275,Communication Device,44,56,43,43,85,2026-02-13,57,European Laboratory
item0276,Battery Pack,73,81,37,89,85,2025-10-09,71,Docking Area 2
item0277,Solar Panel Part,18,21,93,10,82,N/A,15,Docking Area 1
item0278,Medical Supply Kit,77,54,25,47,17,2026-03-11,91,European Laboratory
item0279,Hygiene Kit,19,68,51,97,37,N/A,8,Docking Area 2
item0280,First Aid Kit,86,48,84,89,73,2025-08-25,46,Cupola
item0281,Oxygen Cylinder,86,11,39,100,52,2025-05-16,43,US Laboratory
item0282,Solar Panel Part,78,89,28,98,70,2025-04-11,59,Japanese Laboratory
item0283,Communication Device,92,96,19,8,54,N/A,67,Docking Area 3
item0284,Tool Kit,42,10,93,70,76,N/A,84,Docking Area 3
item0285,Spare Part,92,87,9,8,16,N/A,52,Cupola
item0286,Microgravity Experiment Setup,75,90,64,82,61,2025-06-25,44,Docking Area 1
item0287,Experiment Sample,7,68,80,45,95,N/A,11,Storage Area 2
item0288,Oxygen Cylinder,65,53,46,22,31,N/A,65,Storage Area 1
item0289,Dehydrated Meal Pack,55,79,42,6,98,N/A,83,Docking Area 2
item0290,First Aid Kit,100,12,14,52,60,N/A,46,Crew Quarters
item0291,First Aid Kit,7,18,21,20,0,2025-07-16,84,US Laboratory
item0292,Microgravity Experiment Setup,41,89,85,68,97,N/A,79,Crew Quarters
item0293,Experiment Sample,84,68,100,31,18,2025-05-27,41,Docking Area 1
item0294,Hygiene Kit,96,91,84,81,5,2026-02-11,34,Docking Area 4
item0295,Water Container,27,97,86,33,84,N/A,54,Service Module
item0296,Microgravity Experiment Setup,16,68,91,53,9,2026-01-24,58,US Laboratory
item0297,Solar Panel Part,15,84,13,44,34,N/A,44,Storage Area 1
item0298,Solar Panel Part,57,59,40,36,26,N/A,36,US Laboratory
item0299,Solar Panel Part,26,31,77,96,92,2026-01-05,39,Crew Quarters
item0300,Medical Supply Kit,53,78,99,58,43,2025-08-08,46,European Laboratory
item0301,Dehydrated Meal Pack,53,98,74,19,50,2025-07-02,38,Docking Area 1
item0302,Hygiene Kit,83,85,7,86,11,N/A,41,Cupola
item0303,Scientific Instrument,44,97,25,5,69,N/A,52,Russian Laboratory
item0304,Tool Kit,74,5,70,53,52,N/A,12,Airlock
item0305,Solar Panel Part,32,32,36,60,5,2025-10-06,82,Docking Area 4
item0306,Oxygen Cylinder,60,72,72,15,81,N/A,69,Docking Area 2
item0307,Spare Part,71,71,61,21,77,2025-05-28,22,Storage Area 1
item0308,Battery Pack,27,52,15,39,14,2025-08-04,63,Storage Area 1
item0309,Medical Supply Kit,37,35,31,31,51,2025-11-08,33,European Laboratory
item0310,Battery Pack,73,8,94,36,30,2026-03-16,58,Airlock
item0311,Solar Panel Part,31,95,76,65,92,2025-08-08,49,Storage Area 2
item0312,Dehydrated Meal Pack,83,69,88,89,57,N/A,85,Storage Area 3
item0313,Communication Device,72,59,12,40,41,2025-11-11,35,European Laboratory
item0314,Medical Supply Kit,44,50,48,78,5,N/A,68,Storage Area 2
item0315,Hygiene Kit,78,5,95,66,33,2025-06-26,8,Russian Laboratory
item0316,Solar Panel Part,12,77,38,36,61,2025-07-17,71,Docking Area 4
item0317,Solar Panel Part,55,100,15,28,26,N/A,21,Airlock
item0318,Food Ration,30,68,47,100,49,2026-01-23,7,Crew Quarters
item0319,Oxygen Cylinder,19,19,47,48,79,2025-10-27,20,Docking Area 4
item0320,Scientific Instrument,78,56,59,29,85,2026-03-28,96,Docking Area 3
item0321,First Aid Kit,97,63,21,58,75,2025-12-27,95,Service Module
item0322,Microgravity Experiment Setup,23,29,16,44,71,2025-08-19,19,Storage Area 2
item0323,Experiment Sample,49,46,58,56,35,N/A,98,Cupola
item0324,Dehydrated Meal Pack,88,87,41,26,3,2025-05-04,41,Docking Area 2
item0325,First Aid Kit,64,81,80,11,94,2025-04-23,35,Airlock
item0326,Oxygen Cylinder,85,17,81,6,33,N/A,7,Russian Laboratory
item0327,Communication Device,38,92,73,50,65,N/A,84,Cupola
item0328,Medical Supply Kit,79,78,81,77,8,N/A,60,Cupola
item0329,First Aid Kit,100,15,72,92,50,N/A,63,Docking Area 3
item0330,Experiment Sample,47,47,49,100,38,N/A,86,Docking Area 3
item0331,Hygiene Kit,83,30,98,27,73,2025-12-01,94,Storage Area 2
item0332,Communication Device,82,71,35,56,51,N/A,6,Docking Area 1
item0333,Scientific Instrument,76,9,33,97,97,N/A,7,Russian Laboratory
item0334,Spare Part,53,65,17,22,64,2025-11-12,10,Docking Area 2
item0335,Oxygen Cylinder,52,21,62,1,50,N/A,50,US Laboratory
item0336,Dehydrated Meal Pack,47,49,40,61,51,2026-01-28,41,Docking Area 4
item0337,Microgravity Experiment Setup,52,80,61,78,54,N/A,47,Storage Area 1
item0338,Tool Kit,88,8,91,87,91,2025-04-16,5,US Laboratory
item0339,Dehydrated Meal Pack,88,92,99,67,54,N/A,48,Airlock
item0340,First Aid Kit,65,61,88,90,57,2025-12-16,90,Japanese Laboratory
item0341,Scientific Instrument,9,62,7,31,30,N/A,80,Docking Area 1
item0342,Battery Pack,98,24,88,23,78,N/A,45,Cupola
item0343,Scientific Instrument,18,58,77,6,45,2025-12-05,88,Docking Area 1
item0344,Experiment Sample,60,10,50,32,99,N/A,89,Storage Area 3
item0345,Experiment Sample,64,21,24,28,6,2025-08-25,11,Russian Laboratory
item0346,Solar Panel Part,80,68,90,20,100,N/A,58,Japanese Laboratory
item0347,Solar Panel Part,28,42,25,80,84,2026-01-22,24,Japanese Laboratory
item0348,Solar Panel Part,96,40,88,6,32,2026-03-20,32,Storage Area 2
item0349,Food Ration,49,68,6,22,25,2025-10-26,20,Storage Area 3
item0350,Food Ration,32,84,55,70,67,N/A,32,Storage Area 2
item0351,Battery Pack,60,50,41,36,67,N/A,70,Storage Area 1
item0352,Microgravity Experiment Setup,71,70,5,100,94,2026-02-14,92,Russian Laboratory
item0353,First Aid Kit,91,89,94,57,37,2026-03-16,34,Crew Quarters
item0354,Tool Kit,64,27,86,5,79,2025-05-15,99,US Laboratory
item0355,Experiment Sample,27,16,71,91,14,2025-06-17,73,Docking Area 4
item0356,Food Ration,22,52,10,18,13,N/A,36,Storage Area 2
item0357,First Aid Kit,10,89,53,27,95,N/A,75,European Laboratory
item0358,First Aid Kit,23,27,45,45,74,2026-01-25,66,Docking Area 4
item0359,Communication Device,38,76,38,72,55,2025-09-24,67,Crew Quarters
item0360,Scientific Instrument,31,21,30,86,4,N/A,55,European Laboratory
item0361,First Aid Kit,46,52,7,25,71,N/A,27,European Laboratory
item0362,Medical Supply Kit,62,38,27,15,98,N/A,19,Storage Area 3
item0363,Oxygen Cylinder,99,96,25,60,14,N/A,93,Docking Area 2
item0364,Hygiene Kit,51,46,56,16,93,N/A,61,US Laboratory
item0365,Dehydrated Meal Pack,21,12,19,49,95,N/A,74,Storage Area 1
item0366,Communication Device,55,70,85,54,33,2025-10-18,12,Docking Area 2
item0367,Microgravity Experiment Setup,38,61,85,53,75,2025-09-07,16,US Laboratory
item0368,Hygiene Kit,55,78,38,27,23,N/A,62,Japanese Laboratory
item0369,Microgravity Experiment Setup,65,48,77,49,52,2025-10-01,57,Storage Area 3
item0370,Medical Supply Kit,84,61,87,44,38,N/A,69,Docking Area 1
item0371,Water Container,13,73,66,53,46,N/A,89,Cupola
